,year,NAMELSAD10,pd_count
0,2000,Census Tract 1401,152
1,2000,Census Tract 1403.01,293
2,2000,Census Tract 1403.02,292
3,2000,Census Tract 1404,301
4,2000,Census Tract 1405,282
5,2000,Census Tract 1406,167
6,2000,Census Tract 1407.01,370
7,2000,Census Tract 1407.02,267
8,2000,Census Tract 1408,468
9,2000,Census Tract 1409,130
10,2000,Census Tract 1410,260
11,2000,Census Tract 1411,675
12,2000,Census Tract 1412,317
13,2000,Census Tract 1413,180
14,2000,Census Tract 1414,106
15,2000,Census Tract 1415,164
16,2000,Census Tract 1416.01,61
17,2000,Census Tract 1416.02,179
18,2000,Census Tract 1417,72
19,2000,Census Tract 1960,154
20,2001,Census Tract 1401,227
21,2001,Census Tract 1403.01,368
22,2001,Census Tract 1403.02,306
23,2001,Census Tract 1404,407
24,2001,Census Tract 1405,348
25,2001,Census Tract 1406,326
26,2001,Census Tract 1407.01,629
27,2001,Census Tract 1407.02,419
28,2001,Census Tract 1408,682
29,2001,Census Tract 1409,217
30,2001,Census Tract 1410,357
31,2001,Census Tract 1411,1012
32,2001,Census Tract 1412,411
33,2001,Census Tract 1413,231
34,2001,Census Tract 1414,174
35,2001,Census Tract 1415,206
36,2001,Census Tract 1416.01,87
37,2001,Census Tract 1416.02,328
38,2001,Census Tract 1417,114
39,2001,Census Tract 1960,217
40,2002,Census Tract 1401,296
41,2002,Census Tract 1403.01,455
42,2002,Census Tract 1403.02,398
43,2002,Census Tract 1404,558
44,2002,Census Tract 1405,426
45,2002,Census Tract 1406,429
46,2002,Census Tract 1407.01,638
47,2002,Census Tract 1407.02,476
48,2002,Census Tract 1408,831
49,2002,Census Tract 1409,240
50,2002,Census Tract 1410,482
51,2002,Census Tract 1411,1095
52,2002,Census Tract 1412,559
53,2002,Census Tract 1413,295
54,2002,Census Tract 1414,204
55,2002,Census Tract 1415,263
56,2002,Census Tract 1416.01,143
57,2002,Census Tract 1416.02,427
58,2002,Census Tract 1417,131
59,2002,Census Tract 1960,276
60,2003,Census Tract 1401,289
61,2003,Census Tract 1403.01,377
62,2003,Census Tract 1403.02,408
63,2003,Census Tract 1404,590
64,2003,Census Tract 1405,412
65,2003,Census Tract 1406,385
66,2003,Census Tract 1407.01,628
67,2003,Census Tract 1407.02,402
68,2003,Census Tract 1408,793
69,2003,Census Tract 1409,216
70,2003,Census Tract 1410,483
71,2003,Census Tract 1411,927
72,2003,Census Tract 1412,551
73,2003,Census Tract 1413,246
74,2003,Census Tract 1414,209
75,2003,Census Tract 1415,267
76,2003,Census Tract 1416.01,119
77,2003,Census Tract 1416.02,332
78,2003,Census Tract 1417,112
79,2003,Census Tract 1960,273
80,2004,Census Tract 1401,232
81,2004,Census Tract 1403.01,416
82,2004,Census Tract 1403.02,362
83,2004,Census Tract 1404,496
84,2004,Census Tract 1405,452
85,2004,Census Tract 1406,378
86,2004,Census Tract 1407.01,482
87,2004,Census Tract 1407.02,437
88,2004,Census Tract 1408,661
89,2004,Census Tract 1409,197
90,2004,Census Tract 1410,473
91,2004,Census Tract 1411,791
92,2004,Census Tract 1412,353
93,2004,Census Tract 1413,277
94,2004,Census Tract 1414,225
95,2004,Census Tract 1415,263
96,2004,Census Tract 1416.01,104
97,2004,Census Tract 1416.02,270
98,2004,Census Tract 1417,121
99,2004,Census Tract 1960,278
100,2005,Census Tract 1401,211
101,2005,Census Tract 1403.01,453
102,2005,Census Tract 1403.02,452
103,2005,Census Tract 1404,510
104,2005,Census Tract 1405,392
105,2005,Census Tract 1406,424
106,2005,Census Tract 1407.01,534
107,2005,Census Tract 1407.02,484
108,2005,Census Tract 1408,752
109,2005,Census Tract 1409,233
110,2005,Census Tract 1410,335
111,2005,Census Tract 1411,803
112,2005,Census Tract 1412,355
113,2005,Census Tract 1413,244
114,2005,Census Tract 1414,176
115,2005,Census Tract 1415,213
116,2005,Census Tract 1416.01,95
117,2005,Census Tract 1416.02,232
118,2005,Census Tract 1417,93
119,2005,Census Tract 1960,287
120,2006,Census Tract 1401,216
121,2006,Census Tract 1403.01,454
122,2006,Census Tract 1403.02,354
123,2006,Census Tract 1404,442
124,2006,Census Tract 1405,376
125,2006,Census Tract 1406,371
126,2006,Census Tract 1407.01,412
127,2006,Census Tract 1407.02,445
